Populations	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Hok	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
FR-Run	0.009124	0.012086	0.011673	0.016125	0.016193	0.010340	0.010784	0.011428	0.011242	0.016687	0.016364	0.016118	0.015972	0.016125	0.018751	0.016104	0.015982	0.015905	0.016394	0.016128	0.016038	0.010898	0.016524	0.016560	0.016234	0.012179	0.016412	0.012063	0.010942
FR-Par	0.012086	0.012243	0.012509	0.015953	0.016013	0.012011	0.012228	0.012434	0.012507	0.016334	0.016049	0.015944	0.015075	0.015428	0.018572	0.015560	0.015360	0.015037	0.015998	0.015294	0.015068	0.012396	0.015767	0.015692	0.015865	0.013149	0.016041	0.012875	0.012358
FR-Lez	0.011673	0.012509	0.011860	0.015972	0.016033	0.011629	0.011884	0.012165	0.012191	0.016390	0.016100	0.015963	0.015220	0.015548	0.018591	0.015686	0.015435	0.015176	0.016088	0.015430	0.015215	0.012047	0.015892	0.015838	0.015927	0.012912	0.016102	0.012621	0.012009
CN-Lia	0.016125	0.015953	0.015972	0.014797	0.015910	0.016041	0.016151	0.016021	0.016188	0.016395	0.016093	0.015845	0.015884	0.015992	0.018467	0.015921	0.015910	0.015811	0.016156	0.016033	0.015929	0.016298	0.016473	0.016445	0.015967	0.016597	0.016126	0.016303	0.016272
CN-Bei	0.016193	0.016013	0.016033	0.015910	0.015161	0.016105	0.016217	0.016085	0.016256	0.016451	0.016159	0.015912	0.015942	0.016055	0.018524	0.015987	0.015972	0.015871	0.016218	0.016092	0.015990	0.016362	0.016532	0.016506	0.016028	0.016662	0.016184	0.016364	0.016339
FR-Cor	0.010340	0.012011	0.011629	0.016041	0.016105	0.009855	0.010604	0.011395	0.011157	0.016596	0.016278	0.016032	0.015948	0.016089	0.018665	0.016053	0.015976	0.015876	0.016301	0.016101	0.015986	0.010752	0.016521	0.016521	0.016147	0.012132	0.016321	0.011960	0.010748
ES-Bar	0.010784	0.012228	0.011884	0.016151	0.016217	0.010604	0.010228	0.011664	0.011378	0.016687	0.016367	0.016143	0.015971	0.016133	0.018776	0.016103	0.016041	0.015899	0.016398	0.016138	0.016020	0.011056	0.016569	0.016553	0.016233	0.012396	0.016410	0.012206	0.011091
DE-Jen	0.011428	0.012434	0.012165	0.016021	0.016085	0.011395	0.011664	0.011595	0.011966	0.016479	0.016182	0.016015	0.015420	0.015734	0.018643	0.015837	0.015571	0.015374	0.016183	0.015616	0.015434	0.011810	0.016058	0.016037	0.016022	0.012756	0.016196	0.012523	0.011799
DE-Dos	0.011242	0.012507	0.012191	0.016188	0.016256	0.011157	0.011378	0.011966	0.011039	0.016717	0.016399	0.016182	0.015812	0.016089	0.018813	0.016120	0.015894	0.015761	0.016424	0.015997	0.015876	0.011584	0.016405	0.016419	0.016264	0.012692	0.016439	0.012515	0.011662
JP-Tok	0.016687	0.016334	0.016390	0.016395	0.016451	0.016596	0.016687	0.016479	0.016717	0.015842	0.016407	0.016395	0.016021	0.016115	0.018915	0.016175	0.016271	0.015973	0.016538	0.016223	0.015956	0.016847	0.016735	0.016596	0.016182	0.017066	0.016345	0.016676	0.016781
JP-Sap	0.016364	0.016049	0.016100	0.016093	0.016159	0.016278	0.016367	0.016182	0.016399	0.016407	0.014816	0.016087	0.015792	0.015886	0.018715	0.015920	0.016002	0.015740	0.016264	0.015986	0.015745	0.016527	0.016486	0.016368	0.015942	0.016764	0.016112	0.016396	0.016469
CN-Shi	0.016118	0.015944	0.015963	0.015845	0.015912	0.016032	0.016143	0.016015	0.016182	0.016395	0.016087	0.014687	0.015879	0.015983	0.018472	0.015915	0.015910	0.015809	0.016147	0.016032	0.015925	0.016290	0.016471	0.016446	0.015966	0.016589	0.016126	0.016297	0.016263
US-Wis	0.015972	0.015075	0.015220	0.015884	0.015942	0.015948	0.015971	0.015420	0.015812	0.016021	0.015792	0.015879	0.012610	0.014110	0.018486	0.014439	0.013702	0.012970	0.014831	0.013285	0.013345	0.016145	0.014254	0.013583	0.015544	0.016068	0.015710	0.015529	0.016081
US-Wat	0.016125	0.015428	0.015548	0.015992	0.016055	0.016089	0.016133	0.015734	0.016089	0.016115	0.015886	0.015983	0.014110	0.012245	0.018601	0.012594	0.013901	0.014008	0.012763	0.014148	0.014125	0.016325	0.014112	0.014655	0.015629	0.016345	0.015800	0.015864	0.016237
CN-Nin	0.018751	0.018572	0.018591	0.018467	0.018524	0.018665	0.018776	0.018643	0.018813	0.018915	0.018715	0.018472	0.018486	0.018601	0.019522	0.018533	0.018517	0.018414	0.018753	0.018633	0.018538	0.018919	0.019075	0.019048	0.018586	0.019215	0.018744	0.018920	0.018895
US-Sok	0.016104	0.015560	0.015686	0.015921	0.015987	0.016053	0.016103	0.015837	0.016120	0.016175	0.015920	0.015915	0.014439	0.012594	0.018533	0.011211	0.013916	0.014293	0.011700	0.014357	0.014546	0.016291	0.014051	0.014907	0.015709	0.016401	0.015878	0.016022	0.016239
US-Sdi	0.015982	0.015360	0.015435	0.015910	0.015972	0.015976	0.016041	0.015571	0.015894	0.016271	0.016002	0.015910	0.013702	0.013901	0.018517	0.013916	0.011382	0.013618	0.013185	0.013816	0.013980	0.016201	0.014170	0.014226	0.015817	0.016186	0.015981	0.015817	0.016164
US-Nca	0.015905	0.015037	0.015176	0.015811	0.015871	0.015876	0.015899	0.015374	0.015761	0.015973	0.015740	0.015809	0.012970	0.014008	0.018414	0.014293	0.013618	0.012470	0.014579	0.013200	0.013302	0.016083	0.014148	0.013561	0.015500	0.016018	0.015665	0.015484	0.016013
US-Haw	0.016394	0.015998	0.016088	0.016156	0.016218	0.016301	0.016398	0.016183	0.016424	0.016538	0.016264	0.016147	0.014831	0.012763	0.018753	0.011700	0.013185	0.014579	0.007696	0.014557	0.015162	0.016551	0.014182	0.015245	0.016095	0.016749	0.016266	0.016455	0.016506
US-Col	0.016128	0.015294	0.015430	0.016033	0.016092	0.016101	0.016138	0.015616	0.015997	0.016223	0.015986	0.016032	0.013285	0.014148	0.018633	0.014357	0.013816	0.013200	0.014557	0.012909	0.013574	0.016315	0.014342	0.013845	0.015756	0.016269	0.015918	0.015727	0.016237
BR-Pal	0.016038	0.015068	0.015215	0.015929	0.015990	0.015986	0.016020	0.015434	0.015876	0.015956	0.015745	0.015925	0.013345	0.014125	0.018538	0.014546	0.013980	0.013302	0.015162	0.013574	0.012294	0.016194	0.014377	0.013935	0.015459	0.016112	0.015630	0.015475	0.016087
IT-Tre	0.010898	0.012396	0.012047	0.016298	0.016362	0.010752	0.011056	0.011810	0.011584	0.016847	0.016527	0.016290	0.016145	0.016325	0.018919	0.016291	0.016201	0.016083	0.016551	0.016315	0.016194	0.010654	0.016723	0.016735	0.016395	0.012536	0.016573	0.012354	0.011207
US-CAOx	0.016524	0.015767	0.015892	0.016473	0.016532	0.016521	0.016569	0.016058	0.016405	0.016735	0.016486	0.016471	0.014254	0.014112	0.019075	0.014051	0.014170	0.014148	0.014182	0.014342	0.014377	0.016723	0.013860	0.014808	0.016266	0.016672	0.016427	0.016242	0.016690
US-WIOr	0.016560	0.015692	0.015838	0.016445	0.016506	0.016521	0.016553	0.016037	0.016419	0.016596	0.016368	0.016446	0.013583	0.014655	0.019048	0.014907	0.014226	0.013561	0.015245	0.013845	0.013935	0.016735	0.014808	0.013456	0.016114	0.016661	0.016274	0.016126	0.016656
JP-Hok	0.016234	0.015865	0.015927	0.015967	0.016028	0.016147	0.016233	0.016022	0.016264	0.016182	0.015942	0.015966	0.015544	0.015629	0.018586	0.015709	0.015817	0.015500	0.016095	0.015756	0.015459	0.016395	0.016266	0.016114	0.015003	0.016600	0.015861	0.016200	0.016317
DE-Jen2	0.012179	0.013149	0.012912	0.016597	0.016662	0.012132	0.012396	0.012756	0.012692	0.017066	0.016764	0.016589	0.016068	0.016345	0.019215	0.016401	0.016186	0.016018	0.016749	0.016269	0.016112	0.012536	0.016672	0.016661	0.016600	0.012698	0.016769	0.013251	0.012487
JP-Kan	0.016412	0.016041	0.016102	0.016126	0.016184	0.016321	0.016410	0.016196	0.016439	0.016345	0.016112	0.016126	0.015710	0.015800	0.018744	0.015878	0.015981	0.015665	0.016266	0.015918	0.015630	0.016573	0.016427	0.016274	0.015861	0.016769	0.015386	0.016373	0.016494
FR-Lez2	0.012063	0.012875	0.012621	0.016303	0.016364	0.011960	0.012206	0.012523	0.012515	0.016676	0.016396	0.016297	0.015529	0.015864	0.018920	0.016022	0.015817	0.015484	0.016455	0.015727	0.015475	0.012354	0.016242	0.016126	0.016200	0.013251	0.016373	0.012526	0.012305
IT-Tre2	0.010942	0.012358	0.012009	0.016272	0.016339	0.010748	0.011091	0.011799	0.011662	0.016781	0.016469	0.016263	0.016081	0.016237	0.018895	0.016239	0.016164	0.016013	0.016506	0.016237	0.016087	0.011207	0.016690	0.016656	0.016317	0.012487	0.016494	0.012305	0.010767
