Populations	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Hok	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
FR-Run	0.011405	0.012814	0.012790	0.014481	0.014565	0.012643	0.012685	0.012766	0.012955	0.014627	0.014489	0.014681	0.014019	0.014078	0.016082	0.014136	0.013911	0.013919	0.014537	0.014149	0.013990	0.012849	0.014827	0.014845	0.014482	0.013689	0.014938	0.013307	0.012832
FR-Par	0.012814	0.012256	0.012661	0.014325	0.014411	0.012650	0.012752	0.012670	0.012821	0.014365	0.014234	0.014529	0.013629	0.013787	0.015927	0.013868	0.013581	0.013507	0.014250	0.013821	0.013635	0.012924	0.014460	0.014484	0.014229	0.013617	0.014683	0.013179	0.012951
FR-Lez	0.012790	0.012661	0.012282	0.014347	0.014431	0.012541	0.012641	0.012646	0.012764	0.014457	0.014329	0.014547	0.013774	0.013940	0.015949	0.014012	0.013756	0.013662	0.014352	0.013962	0.013766	0.012779	0.014620	0.014629	0.014315	0.013593	0.014767	0.013158	0.012807
CN-Lia	0.014481	0.014325	0.014347	0.013642	0.014366	0.014359	0.014511	0.014365	0.014549	0.014647	0.014528	0.014468	0.014323	0.014394	0.015893	0.014385	0.014322	0.014246	0.014611	0.014502	0.014324	0.014659	0.015151	0.015170	0.014493	0.015317	0.014941	0.014937	0.014707
CN-Bei	0.014565	0.014411	0.014431	0.014366	0.013806	0.014438	0.014595	0.014450	0.014634	0.014746	0.014636	0.014551	0.014419	0.014494	0.015966	0.014490	0.014415	0.014343	0.014706	0.014596	0.014416	0.014738	0.015237	0.015264	0.014595	0.015402	0.015044	0.015021	0.014786
FR-Cor	0.012643	0.012650	0.012541	0.014359	0.014438	0.011747	0.012432	0.012584	0.012672	0.014557	0.014444	0.014554	0.014065	0.014183	0.015961	0.014194	0.014047	0.013962	0.014473	0.014248	0.014040	0.012453	0.014898	0.014913	0.014414	0.013502	0.014867	0.013046	0.012431
ES-Bar	0.012685	0.012752	0.012641	0.014511	0.014595	0.012432	0.012005	0.012677	0.012758	0.014684	0.014548	0.014710	0.014201	0.014309	0.016115	0.014317	0.014191	0.014088	0.014630	0.014396	0.014222	0.012614	0.015050	0.015041	0.014535	0.013597	0.014992	0.013139	0.012603
DE-Jen	0.012766	0.012670	0.012646	0.014365	0.014450	0.012584	0.012677	0.012259	0.012789	0.014462	0.014329	0.014568	0.013769	0.013944	0.015966	0.014017	0.013741	0.013659	0.014367	0.013953	0.013750	0.012831	0.014607	0.014618	0.014320	0.013586	0.014773	0.013175	0.012841
DE-Dos	0.012955	0.012821	0.012764	0.014549	0.014634	0.012672	0.012758	0.012789	0.012408	0.014673	0.014537	0.014751	0.014026	0.014176	0.016150	0.014232	0.013996	0.013908	0.014570	0.014212	0.014005	0.012897	0.014850	0.014876	0.014525	0.013716	0.014978	0.013297	0.012907
JP-Tok	0.014627	0.014365	0.014457	0.014647	0.014746	0.014557	0.014684	0.014462	0.014673	0.013754	0.014168	0.014868	0.014287	0.014265	0.016194	0.014096	0.014283	0.014138	0.014503	0.014513	0.014353	0.014893	0.015151	0.015098	0.014214	0.015400	0.014669	0.015023	0.014969
