Populations	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Sap2	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
FR-Run	0.018899	0.025316	0.024437	0.033796	0.033998	0.021538	0.022497	0.024705	0.023324	0.034870	0.033998	0.033830	0.033884	0.033927	0.040549	0.033874	0.033808	0.033879	0.035801	0.034348	0.034002	0.022423	0.033929	0.034226	0.033815	0.025806	0.033641	0.024865	0.022569
FR-Par	0.025316	0.025681	0.026370	0.033605	0.033734	0.025278	0.025719	0.027006	0.026183	0.034165	0.033366	0.033572	0.031965	0.032463	0.040283	0.032808	0.032562	0.032020	0.035014	0.032592	0.031946	0.025844	0.032343	0.032383	0.033042	0.028026	0.032895	0.026799	0.025721
FR-Lez	0.024437	0.026370	0.024914	0.033595	0.033723	0.024427	0.024969	0.026400	0.025535	0.034239	0.033454	0.033563	0.032266	0.032681	0.040285	0.032983	0.032688	0.032299	0.035137	0.032879	0.032241	0.025043	0.032585	0.032675	0.033164	0.027465	0.032993	0.026220	0.024966
CN-Lia	0.033796	0.033605	0.033595	0.030890	0.033335	0.033636	0.033825	0.034505	0.033861	0.034264	0.033466	0.033232	0.033721	0.033772	0.039901	0.033597	0.033705	0.033661	0.035286	0.034159	0.033811	0.033959	0.033891	0.034071	0.033310	0.035168	0.033095	0.033954	0.033844
CN-Bei	0.033998	0.033734	0.033723	0.033335	0.031791	0.033814	0.034001	0.034649	0.034017	0.034345	0.033529	0.033307	0.033770	0.033833	0.039999	0.033693	0.033788	0.033726	0.035366	0.034227	0.033883	0.034158	0.033933	0.034141	0.033385	0.035291	0.033119	0.034072	0.034010
FR-Cor	0.021538	0.025278	0.024427	0.033636	0.033814	0.020649	0.022264	0.024762	0.023330	0.034643	0.033776	0.033635	0.033799	0.033825	0.040345	0.033761	0.033735	0.033770	0.035541	0.034260	0.033874	0.022300	0.033917	0.034107	0.033598	0.025820	0.033443	0.024784	0.022304
ES-Bar	0.022497	0.025719	0.024969	0.033825	0.034001	0.022264	0.021360	0.025303	0.023768	0.034806	0.033911	0.033822	0.033783	0.033923	0.040568	0.033862	0.033820	0.033775	0.035740	0.034280	0.033918	0.023006	0.033961	0.034122	0.033728	0.026360	0.033585	0.025314	0.023076
DE-Jen	0.024705	0.027006	0.026400	0.034505	0.034649	0.024762	0.025303	0.025695	0.025799	0.035265	0.034460	0.034515	0.033549	0.033951	0.041188	0.034234	0.033774	0.033569	0.036208	0.034117	0.033529	0.025347	0.033772	0.033953	0.034189	0.027845	0.034024	0.026797	0.025313
DE-Dos	0.023324	0.026183	0.025535	0.033861	0.034017	0.023330	0.023768	0.025799	0.022750	0.034809	0.033947	0.033846	0.033417	0.033725	0.040551	0.033797	0.033447	0.033458	0.035722	0.033974	0.033537	0.023942	0.033535	0.033804	0.033750	0.026813	0.033591	0.025840	0.024111
JP-Tok	0.034870	0.034165	0.034239	0.034264	0.034345	0.034643	0.034806	0.035265	0.034809	0.032765	0.033838	0.034225	0.033567	0.033527	0.040632	0.033751	0.034157	0.033591	0.035754	0.034163	0.033359	0.034983	0.034059	0.033952	0.033306	0.035930	0.033141	0.034503	0.034739
