Populations	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Sap2	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
FR-Run	0.041528	0.046704	0.046578	0.052649	0.052753	0.046170	0.045877	0.047156	0.046751	0.052595	0.052038	0.053101	0.051446	0.051281	0.057339	0.051553	0.050975	0.051199	0.054013	0.051680	0.051282	0.046108	0.051511	0.051642	0.051806	0.047457	0.051754	0.046653	0.045786
FR-Par	0.046704	0.044619	0.046132	0.052119	0.052245	0.046264	0.046197	0.046793	0.046324	0.051594	0.051062	0.052606	0.050117	0.050242	0.056823	0.050583	0.049877	0.049773	0.053073	0.050571	0.050158	0.046443	0.050290	0.050397	0.050853	0.047153	0.050789	0.046204	0.046304
FR-Lez	0.046578	0.046132	0.044630	0.052184	0.052323	0.045770	0.045747	0.046663	0.046051	0.051953	0.051436	0.052657	0.050660	0.050828	0.056895	0.051140	0.050531	0.050368	0.053459	0.051109	0.050633	0.045830	0.050877	0.050942	0.051182	0.047044	0.051126	0.046087	0.045688
CN-Lia	0.052649	0.052119	0.052184	0.049127	0.051634	0.052336	0.052489	0.052806	0.052468	0.052298	0.051884	0.051948	0.052156	0.052067	0.056193	0.052106	0.052114	0.052047	0.053940	0.052557	0.052129	0.052666	0.052290	0.052409	0.051484	0.053238	0.051407	0.052488	0.052560
CN-Bei	0.052753	0.052245	0.052323	0.051634	0.049489	0.052454	0.052623	0.052948	0.052607	0.052531	0.052133	0.052128	0.052374	0.052250	0.056337	0.052323	0.052317	0.052266	0.054131	0.052753	0.052312	0.052782	0.052438	0.052596	0.051728	0.053384	0.051626	0.052618	0.052678
FR-Cor	0.046170	0.046264	0.045770	0.052336	0.052454	0.042915	0.045130	0.046574	0.045866	0.052513	0.052071	0.052788	0.051847	0.051859	0.057046	0.051933	0.051738	0.051616	0.054019	0.052279	0.051738	0.044795	0.052009	0.052111	0.051742	0.046869	0.051689	0.045884	0.044454
ES-Bar	0.045877	0.046197	0.045747	0.052489	0.052623	0.045130	0.043105	0.046503	0.045767	0.052510	0.051992	0.052966	0.051893	0.051870	0.057190	0.051962	0.051780	0.051603	0.054125	0.052352	0.051940	0.044998	0.052112	0.052101	0.051741	0.046809	0.051700	0.045780	0.044708
DE-Jen	0.047156	0.046793	0.046663	0.052806	0.052948	0.046574	0.046503	0.045707	0.046776	0.052524	0.052002	0.053296	0.051174	0.051409	0.057509	0.051716	0.051011	0.050890	0.054031	0.051620	0.051121	0.046667	0.051378	0.051450	0.051754	0.047637	0.051704	0.046771	0.046455
DE-Dos	0.046751	0.046324	0.046051	0.052468	0.052607	0.045866	0.045767	0.046776	0.044097	0.052322	0.051780	0.052946	0.051142	0.051264	0.057174	0.051504	0.050977	0.050827	0.053793	0.051575	0.051080	0.045854	0.051281	0.051406	0.051533	0.047089	0.051482	0.046190	0.045662
JP-Tok	0.052595	0.051594	0.051953	0.052298	0.052531	0.052513	0.052510	0.052524	0.052322	0.048166	0.049498	0.052902	0.051402	0.050828	0.056797	0.050150	0.051288	0.050938	0.052821	0.052002	0.051666	0.052987	0.051748	0.051492	0.049544	0.052887	0.049465	0.052148	0.052990
