7618	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Hok	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
FR-Run	0.000000	0.041658	0.033884	0.126653	0.116576	0.025492	0.032325	0.030723	0.033437	0.117862	0.131751	0.128191	0.160850	0.173667	0.111248	0.192356	0.186729	0.162430	0.279318	0.159297	0.170168	0.029863	0.150068	0.160996	0.120306	0.035992	0.115933	0.034735	0.031414
FR-Par	0.041658	0.000000	0.007371	0.055097	0.055423	0.023696	0.020409	0.008153	0.017176	0.052011	0.058475	0.055345	0.070618	0.083131	0.054049	0.105778	0.101485	0.071513	0.197503	0.070320	0.074090	0.021647	0.066322	0.069239	0.052934	0.009877	0.052173	0.008831	0.020607
FR-Lez	0.033884	0.007371	0.000000	0.065972	0.065271	0.017594	0.015990	0.006883	0.013653	0.062410	0.069880	0.066341	0.085290	0.097213	0.063470	0.119762	0.114120	0.086179	0.208251	0.084497	0.088972	0.016875	0.079436	0.083770	0.063688	0.010091	0.062305	0.007623	0.015800
CN-Lia	0.126653	0.055097	0.065972	0.000000	0.014200	0.104392	0.091506	0.069595	0.080741	0.015032	0.017282	0.013028	0.044316	0.047985	0.015877	0.064233	0.065891	0.044369	0.153393	0.042602	0.048275	0.094634	0.038514	0.041896	0.015845	0.059224	0.015822	0.065582	0.097427
CN-Bei	0.116576	0.055423	0.065271	0.014200	0.000000	0.098160	0.087881	0.068538	0.078475	0.015771	0.019333	0.014892	0.045302	0.048884	0.020006	0.063193	0.064383	0.045357	0.136345	0.043916	0.048922	0.090739	0.040402	0.043983	0.016354	0.060767	0.016349	0.065805	0.093491
FR-Cor	0.025492	0.023696	0.017594	0.104392	0.098160	0.000000	0.011210	0.014532	0.015761	0.098218	0.109511	0.105245	0.142448	0.151670	0.090935	0.170927	0.168439	0.143851	0.262709	0.139987	0.149534	0.010564	0.130799	0.139915	0.101088	0.018475	0.097731	0.017527	0.009914
ES-Bar	0.032325	0.020409	0.015990	0.091506	0.087881	0.011210	0.000000	0.013875	0.014258	0.086581	0.095733	0.092129	0.127746	0.136747	0.077184	0.157473	0.156067	0.128866	0.259451	0.125175	0.134508	0.011500	0.116532	0.123828	0.089748	0.016819	0.087104	0.015832	0.011842
DE-Jen	0.030723	0.008153	0.006883	0.069595	0.068538	0.014532	0.013875	0.000000	0.011857	0.066516	0.074037	0.069954	0.093274	0.104450	0.065594	0.126443	0.120876	0.094420	0.216325	0.092125	0.098030	0.013900	0.086093	0.091542	0.068069	0.009127	0.066761	0.008071	0.013507
DE-Dos	0.033437	0.017176	0.013653	0.080741	0.078475	0.015761	0.014258	0.011857	0.000000	0.077437	0.085519	0.081313	0.110471	0.122146	0.071159	0.143287	0.137804	0.111736	0.238535	0.108916	0.117258	0.015263	0.100890	0.107675	0.080001	0.014480	0.077815	0.014451	0.017102
JP-Tok	0.117862	0.052011	0.062410	0.015032	0.015771	0.098218	0.086581	0.066516	0.077437	0.000000	0.015853	0.015511	0.036969	0.040244	0.017222	0.057288	0.060871	0.037502	0.134661	0.036818	0.038202	0.090506	0.034968	0.035876	0.011900	0.058241	0.012025	0.062260	0.092681
