6869	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Hok	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
FR-Run	0.000000	0.020494	0.020238	0.043502	0.044420	0.023046	0.020522	0.018475	0.021506	0.045307	0.048245	0.049185	0.056336	0.049508	0.046213	0.062438	0.059339	0.057696	0.096841	0.053526	0.057790	0.022273	0.055313	0.054397	0.044387	0.021010	0.042344	0.020227	0.022984
FR-Par	0.020494	0.000000	0.004409	0.024741	0.025607	0.009476	0.009131	0.004854	0.005806	0.023059	0.026653	0.030300	0.027495	0.026124	0.029182	0.038337	0.032212	0.027387	0.070607	0.027442	0.029504	0.011390	0.029988	0.028928	0.023055	0.008633	0.022684	0.005618	0.013457
FR-Lez	0.020238	0.004409	0.000000	0.025297	0.025971	0.007064	0.006744	0.004452	0.004759	0.025806	0.029478	0.030612	0.032414	0.030707	0.029916	0.042721	0.037630	0.032023	0.073386	0.031927	0.033691	0.008158	0.034364	0.032606	0.025555	0.007865	0.024958	0.005152	0.010037
CN-Lia	0.043502	0.024741	0.025297	0.000000	0.008201	0.031268	0.031428	0.025708	0.027273	0.015378	0.018191	0.010993	0.028420	0.023831	0.012654	0.033577	0.033780	0.028930	0.061401	0.027097	0.029693	0.032542	0.029191	0.026974	0.014729	0.025834	0.014020	0.027118	0.036000
CN-Bei	0.044420	0.025607	0.025971	0.008201	0.000000	0.031352	0.032335	0.026671	0.028220	0.016386	0.019690	0.012058	0.029578	0.025957	0.013933	0.035672	0.035044	0.029839	0.061639	0.028419	0.030767	0.032833	0.030470	0.028924	0.016000	0.027315	0.015400	0.027873	0.036424
FR-Cor	0.023046	0.009476	0.007064	0.031268	0.031352	0.000000	0.007789	0.008520	0.008072	0.034275	0.038500	0.036756	0.047234	0.044311	0.034534	0.055786	0.053345	0.047326	0.086252	0.046066	0.048482	0.006633	0.047482	0.045864	0.034048	0.010894	0.032766	0.007824	0.007307
ES-Bar	0.020522	0.009131	0.006744	0.031428	0.032335	0.007789	0.000000	0.007678	0.007242	0.034141	0.037221	0.036837	0.046368	0.042608	0.035048	0.053857	0.052148	0.046046	0.084915	0.045750	0.048969	0.007470	0.047024	0.045171	0.033465	0.010356	0.032598	0.007590	0.008360
DE-Jen	0.018475	0.004854	0.004452	0.025708	0.026671	0.008520	0.007678	0.000000	0.005564	0.026024	0.029445	0.031144	0.032673	0.030569	0.030041	0.042613	0.037514	0.032820	0.074541	0.031901	0.033816	0.009479	0.034177	0.032671	0.025783	0.007892	0.025181	0.005820	0.011043
DE-Dos	0.021506	0.005806	0.004759	0.027273	0.028220	0.008072	0.007242	0.005564	0.000000	0.028370	0.031866	0.032787	0.036248	0.033569	0.030984	0.045133	0.040905	0.035954	0.076036	0.035703	0.036828	0.008850	0.037443	0.035927	0.027984	0.008396	0.027436	0.006401	0.010452
JP-Tok	0.045307	0.023059	0.025806	0.015378	0.016386	0.034275	0.034141	0.026024	0.028370	0.000000	0.008377	0.020123	0.022676	0.017189	0.017425	0.022763	0.027391	0.021533	0.054116	0.023578	0.025662	0.037030	0.024849	0.022453	0.006579	0.026531	0.006722	0.027300	0.041476
JP-Sap	0.048245	0.026653	0.029478	0.018191	0.019690	0.038500	0.037221	0.029445	0.031866	0.008377	0.000000	0.023191	0.026764	0.020491	0.022927	0.025626	0.031637	0.025365	0.057736	0.027820	0.031018	0.040712	0.029283	0.027174	0.007784	0.030694	0.008210	0.031257	0.045016
CN-Shi	0.049185	0.030300	0.030612	0.010993	0.012058	0.036756	0.036837	0.031144	0.032787	0.020123	0.023191	0.000000	0.034118	0.028847	0.015623	0.039403	0.039301	0.034234	0.067986	0.032106	0.035133	0.037544	0.033900	0.031718	0.019896	0.030129	0.018762	0.032112	0.041091
US-Wis	0.056336	0.027495	0.032414	0.028420	0.029578	0.047234	0.046368	0.032673	0.036248	0.022676	0.026764	0.034118	0.000000	0.015901	0.031786	0.031143	0.015571	0.004319	0.064736	0.003876	0.011809	0.050504	0.014367	0.007650	0.022736	0.035133	0.022070	0.034620	0.054887
US-Wat	0.049508	0.026124	0.030707	0.023831	0.025957	0.044311	0.042608	0.030569	0.033569	0.017189	0.020491	0.028847	0.015901	0.000000	0.026793	0.009993	0.015724	0.016299	0.045696	0.015042	0.015233	0.046684	0.014357	0.016719	0.017207	0.030924	0.016526	0.032641	0.051384
CN-Nin	0.046213	0.029182	0.029916	0.012654	0.013933	0.034534	0.035048	0.030041	0.030984	0.017425	0.022927	0.015623	0.031786	0.026793	0.000000	0.036108	0.036286	0.031623	0.061539	0.030123	0.031575	0.036192	0.029504	0.026782	0.020196	0.026234	0.018790	0.031158	0.040855
US-Sok	0.062438	0.038337	0.042721	0.033577	0.035672	0.055786	0.053857	0.042613	0.045133	0.022763	0.025626	0.039403	0.031143	0.009993	0.036108	0.000000	0.033055	0.030503	0.046897	0.031749	0.032857	0.057658	0.030410	0.030887	0.022522	0.042716	0.021987	0.044012	0.061905
US-Sdi	0.059339	0.032212	0.037630	0.033780	0.035044	0.053345	0.052148	0.037514	0.040905	0.027391	0.031637	0.039301	0.015571	0.015724	0.036286	0.033055	0.000000	0.016752	0.055503	0.014381	0.015344	0.056504	0.016246	0.018721	0.027390	0.038774	0.026396	0.038994	0.061127
US-Nca	0.057696	0.027387	0.032023	0.028930	0.029839	0.047326	0.046046	0.032820	0.035954	0.021533	0.025365	0.034234	0.004319	0.016299	0.031623	0.030503	0.016752	0.000000	0.065592	0.005388	0.013714	0.050476	0.015193	0.007534	0.021532	0.033887	0.020668	0.033909	0.054910
US-Haw	0.096841	0.070607	0.073386	0.061401	0.061639	0.086252	0.084915	0.074541	0.076036	0.054116	0.057736	0.067986	0.064736	0.045696	0.061539	0.046897	0.055503	0.065592	0.000000	0.064692	0.064211	0.086195	0.058642	0.065690	0.052542	0.075365	0.050980	0.074161	0.089506
US-Col	0.053526	0.027442	0.031927	0.027097	0.028419	0.046066	0.045750	0.031901	0.035703	0.023578	0.027820	0.032106	0.003876	0.015042	0.030123	0.031749	0.014381	0.005388	0.064692	0.000000	0.010195	0.049521	0.013476	0.007491	0.023726	0.033852	0.022953	0.034245	0.053925
BR-Pal	0.057790	0.029504	0.033691	0.029693	0.030767	0.048482	0.048969	0.033816	0.036828	0.025662	0.031018	0.035133	0.011809	0.015233	0.031575	0.032857	0.015344	0.013714	0.064211	0.010195	0.000000	0.052223	0.015465	0.015013	0.026384	0.035702	0.024743	0.036024	0.056986
IT-Tre	0.022273	0.011390	0.008158	0.032542	0.032833	0.006633	0.007470	0.009479	0.008850	0.037030	0.040712	0.037544	0.050504	0.046684	0.036192	0.057658	0.056504	0.050476	0.086195	0.049521	0.052223	0.000000	0.050683	0.049676	0.036402	0.011956	0.035649	0.008910	0.006446
US-CAOx	0.055313	0.029988	0.034364	0.029191	0.030470	0.047482	0.047024	0.034177	0.037443	0.024849	0.029283	0.033900	0.014367	0.014357	0.029504	0.030410	0.016246	0.015193	0.058642	0.013476	0.015465	0.050683	0.000000	0.013305	0.025134	0.032398	0.023404	0.035387	0.055567
US-WIOr	0.054397	0.028928	0.032606	0.026974	0.028924	0.045864	0.045171	0.032671	0.035927	0.022453	0.027174	0.031718	0.007650	0.016719	0.026782	0.030887	0.018721	0.007534	0.065690	0.007491	0.015013	0.049676	0.013305	0.000000	0.023139	0.029991	0.021067	0.033388	0.054420
JP-Hok	0.044387	0.023055	0.025555	0.014729	0.016000	0.034048	0.033465	0.025783	0.027984	0.006579	0.007784	0.019896	0.022736	0.017207	0.020196	0.022522	0.027390	0.021532	0.052542	0.023726	0.026384	0.036402	0.025134	0.023139	0.000000	0.026859	0.005462	0.026711	0.039890
DE-Jen2	0.021010	0.008633	0.007865	0.025834	0.027315	0.010894	0.010356	0.007892	0.008396	0.026531	0.030694	0.030129	0.035133	0.030924	0.026234	0.042716	0.038774	0.033887	0.075365	0.033852	0.035702	0.011956	0.032398	0.029991	0.026859	0.000000	0.024778	0.006962	0.013753
JP-Kan	0.042344	0.022684	0.024958	0.014020	0.015400	0.032766	0.032598	0.025181	0.027436	0.006722	0.008210	0.018762	0.022070	0.016526	0.018790	0.021987	0.026396	0.020668	0.050980	0.022953	0.024743	0.035649	0.023404	0.021067	0.005462	0.024778	0.000000	0.025750	0.039226
FR-Lez2	0.020227	0.005618	0.005152	0.027118	0.027873	0.007824	0.007590	0.005820	0.006401	0.027300	0.031257	0.032112	0.034620	0.032641	0.031158	0.044012	0.038994	0.033909	0.074161	0.034245	0.036024	0.008910	0.035387	0.033388	0.026711	0.006962	0.025750	0.000000	0.009807
IT-Tre2	0.022984	0.013457	0.010037	0.036000	0.036424	0.007307	0.008360	0.011043	0.010452	0.041476	0.045016	0.041091	0.054887	0.051384	0.040855	0.061905	0.061127	0.054910	0.089506	0.053925	0.056986	0.006446	0.055567	0.054420	0.039890	0.013753	0.039226	0.009807	0.000000
