4545	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Sap2	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
FR-Run	0.000000	0.043019	0.034819	0.128017	0.117721	0.025890	0.032391	0.032572	0.036431	0.120920	0.135785	0.131263	0.165583	0.175692	0.116695	0.194029	0.192928	0.167799	0.276565	0.165358	0.175402	0.030754	0.154387	0.168224	0.125378	0.037990	0.116974	0.034439	0.032322
FR-Par	0.043019	0.000000	0.007689	0.055098	0.055512	0.023491	0.019408	0.009911	0.016701	0.052915	0.059512	0.055557	0.072281	0.082747	0.057256	0.104798	0.105785	0.073934	0.195573	0.073332	0.076852	0.022225	0.069413	0.072561	0.053046	0.012066	0.053166	0.009200	0.019528
FR-Lez	0.034819	0.007689	0.000000	0.063974	0.063017	0.017154	0.015558	0.008248	0.014050	0.061202	0.068886	0.064313	0.084542	0.093858	0.065728	0.115445	0.115901	0.086150	0.203609	0.085453	0.088792	0.016519	0.080310	0.084856	0.062368	0.011094	0.061193	0.007117	0.014504
CN-Lia	0.128017	0.055098	0.063974	0.000000	0.013351	0.101189	0.087600	0.065972	0.074702	0.015589	0.018522	0.012986	0.046628	0.048948	0.017152	0.063362	0.070243	0.046769	0.151326	0.045466	0.051155	0.092181	0.042111	0.045922	0.016397	0.059261	0.016497	0.066809	0.094153
CN-Bei	0.117721	0.055512	0.063017	0.013351	0.000000	0.095327	0.084247	0.065980	0.072996	0.015833	0.019068	0.013664	0.046545	0.048659	0.022145	0.062214	0.067575	0.046491	0.136989	0.045639	0.050543	0.088043	0.042029	0.046080	0.016546	0.060273	0.015593	0.066160	0.089911
FR-Cor	0.025890	0.023491	0.017154	0.101189	0.095327	0.000000	0.012084	0.016208	0.017705	0.096905	0.109029	0.102741	0.142493	0.148905	0.091936	0.167505	0.169935	0.143879	0.254008	0.141630	0.149553	0.010968	0.132819	0.142736	0.100946	0.019854	0.096228	0.016757	0.010052
ES-Bar	0.032391	0.019408	0.015558	0.087600	0.084247	0.012084	0.000000	0.014529	0.015109	0.084722	0.094163	0.089088	0.126509	0.134103	0.075706	0.153749	0.157219	0.127977	0.248701	0.125625	0.134073	0.012267	0.118730	0.126579	0.088613	0.018172	0.086350	0.015012	0.012026
DE-Jen	0.032572	0.009911	0.008248	0.065972	0.065980	0.016208	0.014529	0.000000	0.013110	0.065103	0.071761	0.066757	0.091717	0.099991	0.065890	0.120914	0.120776	0.093264	0.207425	0.091989	0.095754	0.015522	0.087161	0.091684	0.066135	0.010894	0.065972	0.009292	0.014133
DE-Dos	0.036431	0.016701	0.014050	0.074702	0.072996	0.017705	0.015109	0.013110	0.000000	0.073724	0.081304	0.075583	0.107194	0.116919	0.068052	0.137176	0.136943	0.109171	0.230733	0.107362	0.114706	0.016411	0.100417	0.107610	0.076478	0.015478	0.074889	0.014584	0.017745
JP-Tok	0.120920	0.052915	0.061202	0.015589	0.015833	0.096905	0.084722	0.065103	0.073724	0.000000	0.016548	0.015753	0.037863	0.039428	0.019583	0.056272	0.064362	0.038614	0.134249	0.038500	0.039298	0.089457	0.036976	0.037615	0.011555	0.059224	0.011910	0.063733	0.090409
