1721	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Sap2	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
FR-Run	0.000000	0.024846	0.024193	0.055265	0.055910	0.027777	0.024476	0.023700	0.027306	0.059720	0.065885	0.062169	0.068571	0.062317	0.059783	0.079744	0.073367	0.068112	0.121874	0.068029	0.069686	0.028505	0.069085	0.068207	0.058527	0.025576	0.058008	0.024834	0.028804
FR-Par	0.024846	0.000000	0.005836	0.032121	0.033280	0.012809	0.011484	0.006309	0.008204	0.032834	0.038601	0.038869	0.037025	0.034021	0.037122	0.050964	0.043522	0.035667	0.093138	0.038492	0.039584	0.015371	0.038391	0.037165	0.032173	0.009005	0.032096	0.006312	0.017041
FR-Lez	0.024193	0.005836	0.000000	0.034166	0.035333	0.009616	0.008699	0.005824	0.006859	0.037200	0.043146	0.040910	0.043082	0.040335	0.039785	0.057184	0.050783	0.042063	0.097493	0.044482	0.045123	0.011229	0.044821	0.043070	0.036169	0.008751	0.036153	0.005834	0.012501
CN-Lia	0.055265	0.032121	0.034166	0.000000	0.010406	0.041886	0.041915	0.033196	0.036361	0.019742	0.025524	0.014978	0.032402	0.027935	0.015038	0.041244	0.040143	0.032911	0.076189	0.033238	0.034268	0.045217	0.033220	0.031881	0.018417	0.034073	0.018502	0.036925	0.049085
CN-Bei	0.055910	0.033280	0.035333	0.010406	0.000000	0.042755	0.043030	0.034420	0.037470	0.021056	0.026996	0.016082	0.033942	0.029224	0.016258	0.042567	0.041561	0.034433	0.076520	0.034675	0.035532	0.046114	0.034188	0.033095	0.019940	0.035277	0.019885	0.038098	0.049853
FR-Cor	0.027777	0.012809	0.009616	0.041886	0.042755	0.000000	0.010497	0.010968	0.011604	0.048414	0.055540	0.048695	0.061046	0.056497	0.045908	0.072272	0.069407	0.060633	0.111407	0.062195	0.062649	0.009807	0.062102	0.060904	0.047628	0.013183	0.047421	0.010320	0.009556
ES-Bar	0.024476	0.011484	0.008699	0.041915	0.043030	0.010497	0.000000	0.009840	0.010222	0.047349	0.053749	0.048887	0.059997	0.055382	0.046057	0.071121	0.068324	0.059085	0.110951	0.061486	0.062961	0.010679	0.061737	0.059386	0.046539	0.012081	0.046558	0.008911	0.010850
DE-Jen	0.023700	0.006309	0.005824	0.033196	0.034420	0.010968	0.009840	0.000000	0.007728	0.035869	0.041836	0.039910	0.041276	0.039092	0.038065	0.055811	0.048450	0.040414	0.095856	0.042494	0.042748	0.012876	0.042812	0.041041	0.035023	0.008542	0.035249	0.006637	0.013860
DE-Dos	0.027306	0.008204	0.006859	0.036361	0.037470	0.011604	0.010222	0.007728	0.000000	0.040500	0.046704	0.043075	0.047960	0.044479	0.040621	0.061045	0.055391	0.046757	0.101639	0.049059	0.049542	0.012691	0.048996	0.047625	0.039525	0.010007	0.039558	0.007862	0.013557
JP-Tok	0.059720	0.032834	0.037200	0.019742	0.021056	0.048414	0.047349	0.035869	0.040500	0.000000	0.011232	0.026204	0.031237	0.022688	0.022981	0.030117	0.038254	0.028873	0.071779	0.033742	0.035292	0.053035	0.033877	0.029969	0.008230	0.036661	0.008070	0.038988	0.057657
