# Assembly name:  LBDM_Dsuz_2.1.pri
# Organism name:  Drosophila suzukii (flies)
# Infraspecific name:  strain=WT3_2.0
# Taxid:          28584
# BioSample:      SAMN13521054
# BioProject:     PRJNA594550
# Submitter:      Institut de Biologie du Developpement de Marseille
# Date:           2020-06-15
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WWNF01
# Assembly method: FALCON v. 2.3.0; CANU v. 1.3; Quickmerge v. 2017/03/15
# Expected final version: yes
# Genome coverage: 160.0x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_013340165.1
# RefSeq assembly accession: GCF_013340165.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_013340185.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013340175.1	GCF_013340175.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig_17	assembled-molecule	4	Chromosome	CM023447.1	=	NC_050699.1	Primary Assembly	2568912	na
Contig_1	unlocalized-scaffold	2L	Chromosome	WWNF01000001.1	=	NW_023496800.1	Primary Assembly	25589241	na
Contig_38	unlocalized-scaffold	2L	Chromosome	WWNF01000038.1	=	NW_023496803.1	Primary Assembly	1369652	na
Contig_166	unlocalized-scaffold	2L	Chromosome	WWNF01000140.1	=	NW_023496801.1	Primary Assembly	249963	na
Contig_222	unlocalized-scaffold	2L	Chromosome	WWNF01000179.1	=	NW_023496802.1	Primary Assembly	149301	na
Contig_3	unlocalized-scaffold	2R	Chromosome	WWNF01000003.1	=	NW_023496807.1	Primary Assembly	14656957	na
Contig_5	unlocalized-scaffold	2R	Chromosome	WWNF01000005.1	=	NW_023496808.1	Primary Assembly	9130409	na
Contig_60	unlocalized-scaffold	2R	Chromosome	WWNF01000059.1	=	NW_023496809.1	Primary Assembly	942459	na
Contig_102	unlocalized-scaffold	2R	Chromosome	WWNF01000096.1	=	NW_023496804.1	Primary Assembly	524097	na
Contig_120	unlocalized-scaffold	2R	Chromosome	WWNF01000108.1	=	NW_023496805.1	Primary Assembly	442295	na
Contig_236	unlocalized-scaffold	2R	Chromosome	WWNF01000192.1	=	NW_023496806.1	Primary Assembly	131879	na
Contig_2	unlocalized-scaffold	3L	Chromosome	WWNF01000002.1	=	NW_023496812.1	Primary Assembly	24550668	na
Contig_18	unlocalized-scaffold	3L	Chromosome	WWNF01000018.1	=	NW_023496810.1	Primary Assembly	2387461	na
Contig_75	unlocalized-scaffold	3L	Chromosome	WWNF01000074.1	=	NW_023496815.1	Primary Assembly	733197	na
Contig_191	unlocalized-scaffold	3L	Chromosome	WWNF01000157.1	=	NW_023496811.1	Primary Assembly	187456	na
Contig_345	unlocalized-scaffold	3L	Chromosome	WWNF01000281.1	=	NW_023496813.1	Primary Assembly	57272	na
Contig_515	unlocalized-scaffold	3L	Chromosome	WWNF01000414.1	=	NW_023496814.1	Primary Assembly	31910	na
Contig_6	unlocalized-scaffold	3R	Chromosome	WWNF01000006.1	=	NW_023496835.1	Primary Assembly	6689929	na
Contig_8	unlocalized-scaffold	3R	Chromosome	WWNF01000008.1	=	NW_023496836.1	Primary Assembly	6194228	na
Contig_9	unlocalized-scaffold	3R	Chromosome	WWNF01000009.1	=	NW_023496837.1	Primary Assembly	5179314	na
Contig_10	unlocalized-scaffold	3R	Chromosome	WWNF01000010.1	=	NW_023496816.1	Primary Assembly	4075554	na
Contig_13	unlocalized-scaffold	3R	Chromosome	WWNF01000013.1	=	NW_023496817.1	Primary Assembly	3397172	na
Contig_16	unlocalized-scaffold	3R	Chromosome	WWNF01000016.1	=	NW_023496819.1	Primary Assembly	2609782	na
Contig_22	unlocalized-scaffold	3R	Chromosome	WWNF01000022.1	=	NW_023496822.1	Primary Assembly	2090180	na
Contig_27	unlocalized-scaffold	3R	Chromosome	WWNF01000027.1	=	NW_023496824.1	Primary Assembly	1833005	na
Contig_33	unlocalized-scaffold	3R	Chromosome	WWNF01000033.1	=	NW_023496828.1	Primary Assembly	1609687	na
Contig_44	unlocalized-scaffold	3R	Chromosome	WWNF01000044.1	=	NW_023496832.1	Primary Assembly	1208887	na
Contig_49	unlocalized-scaffold	3R	Chromosome	WWNF01000049.1	=	NW_023496833.1	Primary Assembly	1087214	na
Contig_56	unlocalized-scaffold	3R	Chromosome	WWNF01000055.1	=	NW_023496834.1	Primary Assembly	977254	na
Contig_157	unlocalized-scaffold	3R	Chromosome	WWNF01000136.1	=	NW_023496818.1	Primary Assembly	268192	na
Contig_200	unlocalized-scaffold	3R	Chromosome	WWNF01000165.1	=	NW_023496820.1	Primary Assembly	173737	na
Contig_204	unlocalized-scaffold	3R	Chromosome	WWNF01000167.1	=	NW_023496821.1	Primary Assembly	166743	na
Contig_261	unlocalized-scaffold	3R	Chromosome	WWNF01000213.1	=	NW_023496823.1	Primary Assembly	103449	na
Contig_275	unlocalized-scaffold	3R	Chromosome	WWNF01000224.1	=	NW_023496825.1	Primary Assembly	92570	na
Contig_285	unlocalized-scaffold	3R	Chromosome	WWNF01000233.1	=	NW_023496826.1	Primary Assembly	86678	na
Contig_289	unlocalized-scaffold	3R	Chromosome	WWNF01000237.1	=	NW_023496827.1	Primary Assembly	83744	na
Contig_357	unlocalized-scaffold	3R	Chromosome	WWNF01000289.1	=	NW_023496829.1	Primary Assembly	54433	na
Contig_401	unlocalized-scaffold	3R	Chromosome	WWNF01000322.1	=	NW_023496830.1	Primary Assembly	44523	na
Contig_431	unlocalized-scaffold	3R	Chromosome	WWNF01000346.1	=	NW_023496831.1	Primary Assembly	39462	na
Short-Contig_183	unlocalized-scaffold	3R	Chromosome	WWNF01000544.1	=	NW_023496838.1	Primary Assembly	6080	na
Short-Contig_372	unlocalized-scaffold	3R	Chromosome	WWNF01000545.1	=	NW_023496839.1	Primary Assembly	6364	na
Short-Contig_418	unlocalized-scaffold	3R	Chromosome	WWNF01000546.1	=	NW_023496840.1	Primary Assembly	6679	na
Contig_4	unlocalized-scaffold	X	Chromosome	WWNF01000004.1	=	NW_023496845.1	Primary Assembly	13739618	na
Contig_7	unlocalized-scaffold	X	Chromosome	WWNF01000007.1	=	NW_023496846.1	Primary Assembly	6492416	na
Contig_11	unlocalized-scaffold	X	Chromosome	WWNF01000011.1	=	NW_023496841.1	Primary Assembly	3772065	na
Contig_15	unlocalized-scaffold	X	Chromosome	WWNF01000015.1	=	NW_023496842.1	Primary Assembly	2783430	na
Contig_19	unlocalized-scaffold	X	Chromosome	WWNF01000019.1	=	NW_023496843.1	Primary Assembly	2338044	na
Contig_34	unlocalized-scaffold	X	Chromosome	WWNF01000034.1	=	NW_023496844.1	Primary Assembly	1589149	na
Contig_85	unlocalized-scaffold	X	Chromosome	WWNF01000081.1	=	NW_023496847.1	Primary Assembly	653633	na
Contig_101	unplaced-scaffold	na	na	WWNF01000095.1	=	NW_023496848.1	Primary Assembly	531705	na
Contig_104	unplaced-scaffold	na	na	WWNF01000097.1	=	NW_023496849.1	Primary Assembly	511248	na
Contig_105	unplaced-scaffold	na	na	WWNF01000098.1	=	NW_023496850.1	Primary Assembly	507993	na
Contig_106	unplaced-scaffold	na	na	WWNF01000099.1	=	NW_023496851.1	Primary Assembly	505822	na
Contig_108	unplaced-scaffold	na	na	WWNF01000100.1	=	NW_023496852.1	Primary Assembly	481245	na
Contig_109	unplaced-scaffold	na	na	WWNF01000101.1	=	NW_023496853.1	Primary Assembly	471589	na
Contig_110	unplaced-scaffold	na	na	WWNF01000102.1	=	NW_023496854.1	Primary Assembly	468633	na
Contig_112	unplaced-scaffold	na	na	WWNF01000103.1	=	NW_023496855.1	Primary Assembly	459042	na
Contig_114	unplaced-scaffold	na	na	WWNF01000104.1	=	NW_023496856.1	Primary Assembly	451947	na
Contig_115	unplaced-scaffold	na	na	WWNF01000105.1	=	NW_023496857.1	Primary Assembly	449431	na
Contig_117	unplaced-scaffold	na	na	WWNF01000106.1	=	NW_023496858.1	Primary Assembly	448153	na
Contig_119	unplaced-scaffold	na	na	WWNF01000107.1	=	NW_023496859.1	Primary Assembly	445021	na
Contig_12	unplaced-scaffold	na	na	WWNF01000012.1	=	NW_023496860.1	Primary Assembly	3708374	na
Contig_121	unplaced-scaffold	na	na	WWNF01000109.1	=	NW_023496861.1	Primary Assembly	440364	na
Contig_122	unplaced-scaffold	na	na	WWNF01000110.1	=	NW_023496862.1	Primary Assembly	432372	na
Contig_123	unplaced-scaffold	na	na	WWNF01000111.1	=	NW_023496863.1	Primary Assembly	429626	na
Contig_125	unplaced-scaffold	na	na	WWNF01000112.1	=	NW_023496864.1	Primary Assembly	426147	na
Contig_126	unplaced-scaffold	na	na	WWNF01000113.1	=	NW_023496865.1	Primary Assembly	414510	na
Contig_129	unplaced-scaffold	na	na	WWNF01000114.1	=	NW_023496866.1	Primary Assembly	389898	na
Contig_130	unplaced-scaffold	na	na	WWNF01000115.1	=	NW_023496867.1	Primary Assembly	383050	na
Contig_132	unplaced-scaffold	na	na	WWNF01000116.1	=	NW_023496868.1	Primary Assembly	376613	na
Contig_133	unplaced-scaffold	na	na	WWNF01000117.1	=	NW_023496869.1	Primary Assembly	374480	na
Contig_134	unplaced-scaffold	na	na	WWNF01000118.1	=	NW_023496870.1	Primary Assembly	373858	na
Contig_135	unplaced-scaffold	na	na	WWNF01000119.1	=	NW_023496871.1	Primary Assembly	370025	na
Contig_137	unplaced-scaffold	na	na	WWNF01000120.1	=	NW_023496872.1	Primary Assembly	361239	na
Contig_138	unplaced-scaffold	na	na	WWNF01000121.1	=	NW_023496873.1	Primary Assembly	358845	na
Contig_139	unplaced-scaffold	na	na	WWNF01000122.1	=	NW_023496874.1	Primary Assembly	342483	na
Contig_14	unplaced-scaffold	na	na	WWNF01000014.1	=	NW_023496875.1	Primary Assembly	3346522	na
Contig_141	unplaced-scaffold	na	na	WWNF01000123.1	=	NW_023496876.1	Primary Assembly	342486	na
Contig_142	unplaced-scaffold	na	na	WWNF01000124.1	=	NW_023496877.1	Primary Assembly	340523	na
Contig_143	unplaced-scaffold	na	na	WWNF01000125.1	=	NW_023496878.1	Primary Assembly	340096	na
Contig_144	unplaced-scaffold	na	na	WWNF01000126.1	=	NW_023496879.1	Primary Assembly	335556	na
Contig_145	unplaced-scaffold	na	na	WWNF01000127.1	=	NW_023496880.1	Primary Assembly	331247	na
Contig_146	unplaced-scaffold	na	na	WWNF01000128.1	=	NW_023496881.1	Primary Assembly	328192	na
Contig_147	unplaced-scaffold	na	na	WWNF01000129.1	=	NW_023496882.1	Primary Assembly	325005	na
Contig_148	unplaced-scaffold	na	na	WWNF01000130.1	=	NW_023496883.1	Primary Assembly	323094	na
Contig_149	unplaced-scaffold	na	na	WWNF01000131.1	=	NW_023496884.1	Primary Assembly	316953	na
Contig_150	unplaced-scaffold	na	na	WWNF01000132.1	=	NW_023496885.1	Primary Assembly	315015	na
Contig_153	unplaced-scaffold	na	na	WWNF01000133.1	=	NW_023496886.1	Primary Assembly	290298	na
Contig_155	unplaced-scaffold	na	na	WWNF01000134.1	=	NW_023496887.1	Primary Assembly	288031	na
Contig_156	unplaced-scaffold	na	na	WWNF01000135.1	=	NW_023496888.1	Primary Assembly	274242	na
Contig_161	unplaced-scaffold	na	na	WWNF01000137.1	=	NW_023496889.1	Primary Assembly	263465	na
Contig_164	unplaced-scaffold	na	na	WWNF01000138.1	=	NW_023496890.1	Primary Assembly	252424	na
Contig_165	unplaced-scaffold	na	na	WWNF01000139.1	=	NW_023496891.1	Primary Assembly	250436	na
Contig_169	unplaced-scaffold	na	na	WWNF01000141.1	=	NW_023496892.1	Primary Assembly	247096	na
Contig_170	unplaced-scaffold	na	na	WWNF01000142.1	=	NW_023496893.1	Primary Assembly	246878	na
Contig_171	unplaced-scaffold	na	na	WWNF01000143.1	=	NW_023496894.1	Primary Assembly	241024	na
Contig_172	unplaced-scaffold	na	na	WWNF01000144.1	=	NW_023496895.1	Primary Assembly	240507	na
Contig_173	unplaced-scaffold	na	na	WWNF01000145.1	=	NW_023496896.1	Primary Assembly	238876	na
Contig_174	unplaced-scaffold	na	na	WWNF01000146.1	=	NW_023496897.1	Primary Assembly	235515	na
Contig_175	unplaced-scaffold	na	na	WWNF01000147.1	=	NW_023496898.1	Primary Assembly	234670	na
Contig_176	unplaced-scaffold	na	na	WWNF01000148.1	=	NW_023496899.1	Primary Assembly	230902	na
Contig_178	unplaced-scaffold	na	na	WWNF01000149.1	=	NW_023496900.1	Primary Assembly	225508	na
Contig_179	unplaced-scaffold	na	na	WWNF01000150.1	=	NW_023496901.1	Primary Assembly	221224	na
Contig_180	unplaced-scaffold	na	na	WWNF01000151.1	=	NW_023496902.1	Primary Assembly	213703	na
Contig_181	unplaced-scaffold	na	na	WWNF01000152.1	=	NW_023496903.1	Primary Assembly	213119	na
Contig_182	unplaced-scaffold	na	na	WWNF01000153.1	=	NW_023496904.1	Primary Assembly	210008	na
Contig_186	unplaced-scaffold	na	na	WWNF01000154.1	=	NW_023496905.1	Primary Assembly	203341	na
