RefSeq-Accn	Assigned-Molecule	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	California-CA	Wisconsin-WI	Hokkaido-HK	Jena-JN	Kanazawa-KZ	Montpelier-MT	Trento-TR
auto-contigs	autosome	64.8623	48.8025	60.1931	45.7898	63.1838	51.0062	54.0395	52.6735	54.7708	47.2384	59.2846	43.0497	53.4684	51.3063	40.6729	45.9606	64.9341	49.2888	63.4545	53.2722	50.3099	47.6616	31.3187	25.4399	62.398	25.8809	71.2619	70.1094	69.7648
X-contigs	X	49.5994	39.9919	46.5394	29.5979	58.935	43.8059	28.4304	41.373	36.0214	42.0574	31.4189	24.1119	43.8275	28.9276	37.9734	30.0154	47.2697	38.8948	50.2753	42.9327	37.8622	36.6266	32.5894	25.1734	41.7025	25.8488	50.1998	66.4961	53.9937
NW_023496838.1	3R	19.1386	12.5889	18.3928	20.1974	21.5787	14.0896	17.7173	14.4278	16.1185	15.6146	26.2427	19.0395	15.3144	24.718	13.9378	19.6057	21.8471	11.7778	32.7871	16.4761	21.745	14.9318	16.5543	7.03153	21.1397	5.44504	50.6485	17.9773	21.6014
NW_023496839.1	3R	18.3215	16.3905	19.2059	13.273	19.7142	14.0071	15.3194	17.7539	18.397	14.0683	17.9478	13.0002	19.4451	15.7033	10.5103	16.7112	24.5539	14.432	23.8898	19.6246	17.9251	13.9791	11.7143	5.56199	17.8162	5.2433	21.3477	24.3796	21.5632
NW_023496840.1	3R	27.7063	19.4039	25.4325	18.712	27.0734	18.8111	21.1471	19.2633	20.2002	20.0643	21.9579	15.7792	18.7662	18.7023	15.7676	17.5282	24.4411	18.5796	25.3925	16.4957	15.7075	15.2043	15.4575	10.0776	22.0403	12.9284	47.6651	34.1201	22.4402
NW_023496831.1	3R	8.25323	5.56068	7.61823	5.69201	8.98707	7.59729	6.32194	6.48944	6.55031	4.70134	4.88241	5.5152	7.5453	6.45683	5.27495	3.40567	9.44088	5.68371	6.15935	7.79649	9.68593	7.0532	5.57889	3.25727	7.73729	3.59049	11.8771	11.7166	10.928
NW_023496814.1	3L	21.6946	17.9701	21.4804	18.8357	25.1786	19.5161	19.1107	16.7508	16.7793	19.5354	22.3726	17.8284	19.126	20.2879	14.6002	20.2681	21.828	17.3532	25.5158	18.6043	15.6541	18.0646	10.2936	7.14216	26.3588	8.2786	32.7121	31.9575	29.3834
NW_023496829.1	3R	14.3581	12.6378	13.5205	10.3473	13.5013	11.5672	12.7028	12.6145	14.418	11.2342	14.0305	10.3984	12.7309	12.4383	8.30773	10.7896	14.4969	10.6786	14.593	12.2669	11.0064	11.9323	5.91164	4.87433	17.7229	6.49196	16.5364	15.7751	19.5306
NW_023496830.1	3R	46.0977	26.7585	46.8617	29.2818	38.5832	32.617	36.658	36.1568	34.1013	29.5336	33.5324	25.3303	36.8029	42.086	27.4649	25.7806	38.3048	37.8616	49.239	37.5378	31.3614	23.506	16.7378	18.9698	32.4796	18.1469	32.3603	24.9406	27.1231
NW_023496827.1	3R	19.6284	16.0415	17.1008	14.1866	21.2867	16.9478	17.7792	15.9458	18.3063	14.2624	18.8285	14.5709	17.5131	15.1567	12.4382	14.5561	20.9936	13.9484	20.1113	17.6678	16.7956	17.8541	11.6936	7.58322	21.1602	11.0775	29.3611	29.1468	28.0779
NW_023496813.1	3L	22.8923	18.136	24.8743	15.4625	21.9402	20.4414	20.1588	21.4326	20.4626	18.7155	21.5607	14.3346	19.9476	15.8162	13.513	16.2117	30.2244	17.5799	24.1303	19.0119	18.7672	17.5394	19.2329	9.00544	25.116	12.1884	34.156	37.6217	28.4513
NW_023496825.1	3R	15.6967	15.3735	17.9569	20.1461	29.3486	15.556	19.1368	14.2693	19.1019	18.7469	28.4819	19.9987	16.1459	21.3441	16.6253	21.6052	18.7553	13.5492	22.3065	15.39	16.831	17.9963	9.08238	6.08665	29.5874	7.93245	27.7143	19.5123	25.4932
NW_023496823.1	3R	25.5461	22.5197	25.8953	17.3225	25.2696	22.2188	24.1684	22.0166	22.8912	23.1494	29.7707	17.0511	23.6034	23.0669	15.0602	23.6087	27.9122	22.4144	26.7263	21.4665	16.828	20.7288	12.9249	9.75416	32.2058	10.597	37.0392	39.1871	34.2705
