Chr	Contig	Window	Start	End	Length	Number of filtered sites	Number of SNPs
auto	NW_023496818.1	0	1	168337	168337	1721	1398
auto	NW_023497053.1	0	1	1091999	1091999	2259	1720
auto	NW_023497053.1	1	1092000	1446185	354186	1906	1593
auto	NW_023496832.1	0	1	999384	999384	1530	1252
auto	NW_023496832.1	1	999385	1048142	48758	1977	1622
auto	NW_023496832.1	2	1048143	1087199	39057	1317	1153
auto	NW_023496834.1	0	1	298779	298779	1770	1454
auto	NW_023496834.1	1	298780	433919	135140	2120	1783
auto	NW_023496834.1	2	433920	505621	71702	1791	1527
auto	NW_023496834.1	3	505622	730993	225372	2076	1693
auto	NW_023496828.1	0	1	368514	368514	1767	1337
auto	NW_023496828.1	1	368515	525446	156932	1885	1489
auto	NW_023496828.1	2	525447	617468	92022	1755	1421
auto	NW_023496828.1	3	617469	721604	104136	2354	1814
auto	NW_023496828.1	4	721605	982295	260691	2667	2055
auto	NW_023496828.1	5	982296	1594174	611879	3328	2458
auto	NW_023496822.1	0	1	171535	171535	1734	1409
auto	NW_023496822.1	1	171536	255384	83849	2010	1629
auto	NW_023496822.1	2	255385	706828	451444	1689	1419
auto	NW_023496822.1	3	706829	1305506	598678	1799	1469
auto	NW_023496822.1	4	1305507	1334690	29184	1797	1444
auto	NW_023496822.1	5	1334691	1678359	343669	3257	2437
auto	NW_023496822.1	6	1678360	1747483	69124	2094	1644
auto	NW_023496822.1	7	1747484	1961487	214004	2360	1817
auto	NW_023496833.1	0	1	223253	223253	1567	1329
auto	NW_023496833.1	1	223254	332651	109398	2560	2078
auto	NW_023496833.1	2	332652	473605	140954	2715	2125
auto	NW_023496833.1	3	473606	572001	98396	1887	1550
auto	NW_023496833.1	4	572002	615513	43512	1328	1127
auto	NW_023496833.1	5	615514	714733	99220	2129	1730
auto	NW_023496833.1	6	714734	803967	89234	1667	1384
auto	NW_023496833.1	7	803968	850818	46851	1629	1399
auto	NW_023496833.1	8	850819	975925	125107	2309	1921
auto	NW_023496833.1	9	975926	1066338	90413	1761	1437
auto	NW_023496816.1	0	1	1215544	1215544	2208	1706
auto	NW_023496816.1	1	1215545	1246277	30733	1241	1090
auto	NW_023496816.1	2	1246278	1294102	47825	1371	1185
